Churn Category,Age,Number of Dependents,Population,Latitude,Longitude,Satisfaction Score,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender-Male,Gender-Female,Under 30-Yes,Under 30-No,Senior Citizen-Yes,Senior Citizen-No,Married-Yes,Married-No,Dependents-Yes,Dependents-No,Referred a Friend-Yes,Referred a Friend-No,Offer-Offer B,Offer-Offer E,Offer-None,Offer-Offer C,Offer-Offer A,Offer-Offer D,Phone Service-Yes,Phone Service-No,Multiple Lines-Yes,Multiple Lines-No,Internet Service-Yes,Internet Service-No,Internet Type-Fiber Optic,Internet Type-DSL,Internet Type-Cable,Internet Type-None,Online Security-Yes,Online Security-No,Online Backup-Yes,Online Backup-No,Device Protection Plan-Yes,Device Protection Plan-No,Premium Tech Support-Yes,Premium Tech Support-No,Streaming TV-Yes,Streaming TV-No,Streaming Movies-Yes,Streaming Movies-No,Streaming Music-Yes,Streaming Music-No,Unlimited Data-Yes,Unlimited Data-No,Contract-Two Year,Contract-Month-to-Month,Contract-One Year,Paperless Billing-Yes,Paperless Billing-No,Payment Method-Mailed Check,Payment Method-Credit Card,Payment Method-Bank Withdrawal
0,49.0,0.0,,37.540582,,5.0,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,3.0,55668,34.044271,,1.0,,,,,,,,,,,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47.0,3.0,34045,34.613476,-118.256358,4.0,,,,,,,,,,,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50.0,3.0,56126,37.505768,-121.962472,4.0,5.0,35.0,1.53,57.0,89.7,3165.6,0.0,0.0,,3219.15,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
0,,,344,40.936285,-121.572692,4.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64.0,0.0,46171,33.507255,,2.0,,40.0,2.03,19.0,84.85,3303.05,0.0,0.0,81.19999999999999,3384.25,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1
2,39.0,0.0,58764,33.723579,-118.005441,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,80.0,0.0,521,36.125529,-120.864443,,,,,,,,,,,,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50.0,0.0,51855,38.672638,-121.147403,5.0,,28.0,13.69,12.0,91.25,,0.0,0.0,383.32,2866.9700000000003,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
0,28.0,,8525,39.084645,-120.894014,3.0,1.0,71.0,20.49,0.0,,1397.3,0.0,0.0,1454.79,2852.09,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0,63.0,0.0,36738,,-121.201018,3.0,0.0,60.0,39.41,0.0,25.0,1505.05,0.0,0.0,2364.6,3869.6499999999996,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
0,47.0,0.0,,,,4.0,0.0,,47.45,5.0,65.75,1111.2,0.0,0.0,806.6500000000001,1917.8500000000001,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
0,74.0,0.0,1317,,-120.02609,4.0,2.0,,12.33,23.0,64.2,2106.3,0.0,0.0,419.22,2525.5200000000004,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1
0,57.0,0.0,9960,33.876482,,3.0,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65.0,0.0,,40.524535,-122.647172,,0.0,46.0,16.04,26.0,69.1,3255.35,0.0,0.0,737.8399999999999,3993.1899999999996,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
0,73.0,0.0,48170,33.881158,-117.854783,3.0,10.0,72.0,,30.0,93.05,6735.05,0.0,0.0,96.48,6831.53,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1
0,77.0,0.0,,33.653338,-117.178271,5.0,1.0,29.0,,,,1442.0,0.0,0.0,,2533.85,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1
0,,,5094,37.873283,-121.292034,4.0,0.0,,30.8,27.0,,520.95,0.0,0.0,,767.35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
1,34.0,,46227,33.60693,-117.644253,3.0,0.0,1.0,2.24,6.0,70.15,70.15,0.0,,2.24,,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0
0,,,16398,33.867593,-118.080637,,2.0,60.0,22.95,15.0,104.35,6339.45,41.23,,1377.0,7675.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
1,,,,33.848733,-117.788357,,0.0,4.0,48.35,24.0,89.2,346.2,,0.0,193.4,539.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
5,72.0,0.0,47224,,-117.134917,3.0,1.0,33.0,27.78,8.0,94.5,,0.0,0.0,,4022.29,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
0,34.0,2.0,30852,,-118.346766,,0.0,9.0,27.64,29.0,50.1,484.05,0.0,,248.76,732.81,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,,,,,,4.0,0.0,71.0,4.89,0.0,24.35,1654.6,0.0,0.0,347.19,2001.79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,54.0,,407,39.170376,,,0.0,44.0,49.57,21.0,,,0.0,100.0,,5985.23,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
4,,,1601,39.225634,-121.156163,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,34.536232,-118.082935,3.0,9.0,18.0,43.69,0.0,24.65,471.35,0.0,0.0,786.42,1257.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0
3,58.0,0.0,88,35.710244,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,2.0,1130,36.635661,-120.288644,3.0,7.0,36.0,40.54,59.0,92.9,3379.25,0.0,0.0,1459.44,4838.6900000000005,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,24.0,3.0,3041,41.163637,,4.0,9.0,72.0,,51.0,,,0.0,80.0,0.0,4558.85,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,,,13386,37.424342,-122.165641,3.0,0.0,69.0,,28.0,85.35,5897.4,0.0,,1274.4299999999998,7171.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
0,,,28098,,,5.0,0.0,,49.66,0.0,20.05,96.8,0.0,0.0,347.62,444.42,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
4,,0.0,9423,38.581354,-122.296283,3.0,1.0,33.0,35.31,0.0,24.5,740.3,35.05,0.0,1165.23,1870.48,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
0,20.0,2.0,47568,33.902045,,3.0,1.0,7.0,25.64,,50.7,350.35,0.0,0.0,179.48000000000002,529.83,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0
0,27.0,0.0,73686,34.078991,-118.263804,3.0,0.0,4.0,,73.0,80.15,319.85,0.0,0.0,26.0,345.85,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0
1,65.0,0.0,44078,37.766556,-121.976784,2.0,,4.0,49.5,23.0,,424.45,0.0,,198.0,622.45,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
0,75.0,,5246,,-121.737696,3.0,8.0,57.0,,15.0,95.3,5567.45,0.0,0.0,,7177.7,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0
0,20.0,,40705,33.833699,-118.314387,3.0,0.0,20.0,31.02,0.0,19.4,415.4,0.0,,620.4,1035.8,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
3,39.0,0.0,960,,,,,16.0,18.99,30.0,95.6,1555.65,0.0,0.0,303.84,1859.49,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
0,57.0,0.0,,36.623632,-119.741322,,0.0,65.0,,17.0,84.85,5459.2,0.0,0.0,2713.1,8172.299999999999,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
0,29.0,0.0,60553,33.844983,-117.952151,3.0,2.0,71.0,40.63,69.0,,4681.75,4.7,0.0,2884.73,7561.780000000001,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
0,61.0,,1933,34.983808,,3.0,,,,,,,,,,,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65.0,,26933,34.049172,-118.115022,,,65.0,19.58,26.0,107.45,7047.5,0.0,0.0,1272.6999999999998,8320.2,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
0,62.0,0.0,13840,39.913777,-122.289984,,0.0,5.0,41.93,0.0,19.65,92.05,0.0,,209.65,301.7,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,44.0,2.0,,34.108455,-118.362081,3.0,10.0,16.0,7.14,0.0,19.7,301.55,0.0,0.0,114.24,,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
0,24.0,0.0,,,,,5.0,43.0,48.1,51.0,71.9,3173.35,,0.0,2068.3,5241.65,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
0,62.0,1.0,24644,34.142747,-117.300864,,0.0,61.0,32.05,0.0,,,0.0,0.0,1955.0499999999997,3453.3999999999996,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,60.0,0.0,7615,33.012751,,,0.0,17.0,22.61,19.0,83.55,,0.0,0.0,,1713.52,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
2,,0.0,171,38.349195,-121.902943,3.0,,4.0,27.57,27.0,79.0,303.15,0.0,0.0,110.28,413.42999999999995,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
0,49.0,0.0,33883,37.555473,-122.080312,3.0,0.0,1.0,43.06,9.0,,83.4,0.0,0.0,43.06,126.46000000000001,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
0,39.0,,,41.505916,-120.152505,3.0,10.0,67.0,0.0,6.0,,,0.0,0.0,0.0,3521.7,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,51.0,0.0,14477,36.220761,-120.980777,3.0,0.0,64.0,44.31,4.0,115.1,7334.05,,,2835.84,10169.89,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,21.0,0.0,27414,34.145695,,3.0,7.0,11.0,1.92,0.0,20.6,233.9,0.0,0.0,21.119999999999997,255.02,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,56.0,3.0,8577,,-120.453416,5.0,2.0,38.0,,30.0,78.95,,0.0,,519.46,3382.01,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
0,46.0,0.0,,37.902968,-119.667544,5.0,0.0,3.0,13.72,26.0,84.3,235.05,0.0,0.0,,276.21000000000004,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
0,,,86,40.171312,-121.120605,5.0,3.0,41.0,20.41,,109.1,4454.25,0.0,0.0,836.8100000000001,5291.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
0,44.0,,50641,33.787165,-117.931889,3.0,7.0,44.0,32.22,0.0,24.85,1013.6,0.0,0.0,1417.6799999999998,2431.2799999999997,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
0,,,61623,34.065108,-118.082791,3.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33.0,0.0,322,39.672813,,5.0,0.0,36.0,44.87,8.0,76.35,2606.35,0.0,0.0,1615.32,4221.67,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0,,0.0,,,,4.0,0.0,1.0,14.65,15.0,,55.05,0.0,0.0,14.65,69.7,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
4,24.0,0.0,10159,37.422961,-120.765493,,0.0,1.0,26.12,0.0,20.5,,,0.0,26.12,46.620000000000005,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,43.0,0.0,,39.408634,-123.045516,4.0,1.0,72.0,38.3,3.0,97.95,7114.25,0.0,0.0,2757.6,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,,,17846,,,,0.0,17.0,33.68,14.0,55.5,934.15,0.0,0.0,572.56,1506.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
0,32.0,0.0,24005,32.782501,-117.01611,,0.0,72.0,2.25,16.0,101.3,7261.25,,,162.0,7423.25,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
0,27.0,1.0,,,,5.0,4.0,10.0,4.16,0.0,24.4,253.9,0.0,0.0,41.6,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,60.0,0.0,53481,35.449881,-118.841442,5.0,0.0,3.0,49.63,26.0,80.35,253.8,,0.0,148.89000000000001,402.69000000000005,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
2,34.0,0.0,,40.022184,-121.062384,3.0,1.0,1.0,11.08,13.0,69.8,69.8,0.0,0.0,11.08,80.88,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,50.0,0.0,,,,,2.0,72.0,38.44,16.0,108.5,8003.8,0.0,0.0,2767.68,10771.48,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
